id,name,email,type,created_at,updated_at
1,Ray Charles,ray.charles@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
2,Billie Holiday,billie.holiday@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
3,Louis Armstrong,louis.armstrong@email.com,Jazz Singer,2025-10-26,2025-10-26
4,John Lee Hooker,john.hooker@email.com,Blues Singer,2025-10-26,2025-10-26
5,Muddy Waters,muddy.waters@email.com,Blues Singer,2025-10-26,2025-10-26
6,Etta James,etta.james@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
7,Aretha Franklin,aretha.franklin@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
8,Ray Charles,ray.charles@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
9,Sarah Vaughan,sarah.vaughan@email.com,Jazz Singer,2025-10-26,2025-10-26
10,Alberta Hunter,alberta.hunter@email.com,Blues Singer,2025-10-26,2025-10-26
11,Robert Johnson,robert.johnson@email.com,Blues Singer,2025-10-26,2025-10-26
12,Koko Taylor,koko.taylor@email.com,Blues Singer,2025-10-26,2025-10-26
13,Nina Simone,nina.simone@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
14,Bessie Smith,bessie.smith@email.com,Blues Singer,2025-10-26,2025-10-26
15,Big Mama Thornton,big.mama.thornton@email.com,Blues Singer,2025-10-26,2025-10-26
16,Son House,son.house@email.com,Blues Singer,2025-10-26,2025-10-26
17,Lena Horne,lena.horne@email.com,Jazz Singer,2025-10-26,2025-10-26
18,Otis Redding,otis.redding@email.com,Blues & Soul Singer,2025-10-26,2025-10-26
19,Dinah Washington,dinah.washington@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
20,Chuck Berry,chuck.berry@email.com,Blues Singer,2025-10-26,2025-10-26
21,Willie Dixon,willie.dixon@email.com,Blues Singer,2025-10-26,2025-10-26
22,Jimmy Reed,jimmy.reed@email.com,Blues Singer,2025-10-26,2025-10-26
23,Clyde McPhatter,clyde.mcphatter@email.com,Jazz & Blues Singer,2025-10-26,2025-10-26
24,Edith Piaf,edith.piaf@email.com,Jazz Singer,2025-10-26,2025-10-26
25,Janis Joplin,janis.joplin@email.com,Blues Singer,2025-10-26,2025-10-26
26,Jimi Hendrix,jimi.hendrix@email.com,Blues Singer,2025-10-26,2025-10-26
27,T-Bone Walker,tbone.walker@email.com,Blues Singer,2025-10-26,2025-10-26
28,Mavis Staples,mavis.staples@email.com,Blues Singer,2025-10-26,2025-10-26
29,Sam Cooke,sam.cooke@email.com,Blues Singer,2025-10-26,2025-10-26
30,Clarence "Gatemouth" Brown,clarence.brown@email.com,Blues Singer,2025-10-26,2025-10-26
